id,sku,name,quantity,base_price,has_discount,discount_price,short_description,long_description,created_at,updated_at,created_by,updated_by
29,502101,Wolf's Trisetum,64,$295.69,true,$302.76,"Disp fx of base of 2nd MC bone. l hand, 7thD","Displaced fracture of base of second metacarpal bone. left hand, subsequent encounter for fracture with routine healing",12/12/2023,6/22/2023,fborwicks,kberrecloths
30,977707,Stinging Nettle,1,$110.55,true,$311.73,"Sltr-haris Type I physeal fx lower end of l femur, sequela","Salter-Harris Type I physeal fracture of lower end of left femur, sequela",6/9/2023,9/26/2022,bmitchelt,jcrawfordt
31,696488,Southern Flatsedge,16,$320.02,true,$99.31,Inj extensor musc/fasc/tend r mid finger at wrs/hnd lv,"Other injury of extensor muscle, fascia and tendon of right middle finger at wrist and hand level",3/18/2022,9/18/2023,sportressu,ngalerou
32,280998,Alkali Yellowtops,31,$907.00,true,$127.10,"Contusion of right thumb with damage to nail, sequela","Contusion of right thumb with damage to nail, sequela",11/18/2023,11/11/2022,cshavev,sstollmanv
33,668196,Bowl Lichen,35,$272.33,false,$212.86,"Nondisp segmental fx shaft of radius, right arm, init","Nondisplaced segmental fracture of shaft of radius, right arm, initial encounter for closed fracture",6/23/2023,10/6/2023,lclutterbuckw,mambrosoliw
34,444158,Austrian Draba,77,$500.72,false,$416.84,"Displ transverse fx shaft of r ulna, 7thE","Displaced transverse fracture of shaft of right ulna, subsequent encounter for open fracture type I or II with routine healing",9/6/2023,11/20/2023,clandonx,pcrantonx
35,689161,Burrobrush,76,$96.85,true,$53.68,"Postimmun ac dissem encphlts, myelitis and encephalomyelitis","Postimmunization acute disseminated encephalitis, myelitis and encephalomyelitis",3/24/2023,11/22/2023,bperroniy,hgouldeny
36,287766,Guavaberry,99,$749.50,false,$108.86,Postinfarction angina,Postinfarction angina,8/20/2022,11/18/2022,jconachyz,mhaughinz
37,451215,Barbula Moss,46,$156.85,true,$50.69,"Displ oblique fx shaft of r ulna, 7thH","Displaced oblique fracture of shaft of right ulna, subsequent encounter for open fracture type I or II with delayed healing",4/11/2022,8/29/2022,gmarjoram10,pmaber10
38,854429,Trelease's Milkvetch,31,$679.38,true,$476.45,"Injury of blood vessels of head, NEC, init","Injury of blood vessels of head, not elsewhere classified, initial encounter",3/24/2022,9/25/2023,smacarthur11,rlaroux11
39,173556,Low Loosestrife,28,$119.98,true,$230.89,Diphyllobothriasis,Diphyllobothriasis,2/7/2023,1/13/2024,cfrediani12,bforcade12
40,797805,Apache Beardtongue,28,$352.54,true,$423.25,Episodic paroxysmal hemicrania,Episodic paroxysmal hemicrania,9/7/2022,4/25/2023,rnarup13,dmcgaughey13
41,864999,Hampe's Entodon Moss,80,$377.43,false,$165.80,Oth symptoms and signs w general sensations and perceptions,Other symptoms and signs involving general sensations and perceptions,8/30/2022,6/22/2023,boddie14,vdonneely14
42,555344,Carpet Phlox,79,$968.64,true,$284.07,"Poisn by unsp hormones and synthetic sub, self-harm, sequela","Poisoning by unspecified hormones and synthetic substitutes, intentional self-harm, sequela",1/13/2023,1/5/2023,wtwinberrow15,wruddell15
43,342104,Cyrtandra,52,$708.34,true,$342.81,Complete traumatic amputation of right foot at ankle level,Complete traumatic amputation of right foot at ankle level,12/25/2022,5/22/2022,bdecoursey16,dcolcutt16
44,320503,Common Hop,55,$103.50,true,$157.95,Other rheumatic aortic valve diseases,Other rheumatic aortic valve diseases,10/16/2023,8/23/2022,pchesswas17,jsally17
45,891111,Scabland Penstemon,66,$658.67,true,$264.76,Insect bite (nonvenomous) of throat,Insect bite (nonvenomous) of throat,6/19/2023,11/24/2022,adisdel18,sasser18
46,401010,Laguna Mountain Alumroot,63,$407.86,false,$418.34,"Posterior scleritis, right eye","Posterior scleritis, right eye",2/23/2022,9/19/2023,tondrasek19,csopper19
47,167293,Plumegrass,29,$153.35,false,$347.84,"Displ commnt suprcndl fx w/o intrcndl fx unsp humer, 7thB","Displaced comminuted supracondylar fracture without intercondylar fracture of unspecified humerus, initial encounter for open fracture",7/5/2022,7/8/2022,lbrandenburg1a,bdimatteo1a
48,451175,Flatspike Sedge,83,$708.85,false,$466.89,"Nondisp commnt fx unsp patella, 7thN","Nondisplaced comminuted fracture of unspecified patella, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion",3/19/2022,10/20/2022,bniblett1b,pcassels1b
49,287718,Pitscale Grass,41,$705.75,true,$320.59,"Secondary pigmentary degeneration, left eye","Secondary pigmentary degeneration, left eye",12/15/2023,8/29/2023,fcosin1c,dthumann1c
50,491173,Funaria Moss,24,$242.97,false,$374.81,Superficial injury of thorax,Superficial injury of thorax,9/26/2023,11/26/2022,adashkovich1d,striplow1d
51,659920,Purpleflowering Raspberry,27,$744.77,false,$449.12,"Superficial foreign body of unsp part of head, init encntr","Superficial foreign body of unspecified part of head, initial encounter",3/12/2022,10/15/2022,dbaggett1e,dpirdy1e
52,410279,Cascade Desertparsley,25,$409.39,false,$70.77,"Traum hemor cereb, w LOC >24 hr w/o ret consc w surv, init","Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, initial encounter",9/19/2022,7/25/2022,bzumfelde1f,jmcphelim1f
53,176393,Kauai Cyanea,94,$718.73,true,$450.15,"Abrasion of breast, unspecified breast, subsequent encounter","Abrasion of breast, unspecified breast, subsequent encounter",7/25/2022,10/1/2022,iroja1g,cnorthill1g
54,879600,Queen-devil Hawkweed,78,$573.08,false,$246.92,"Pathological fracture in other disease, shoulder","Pathological fracture in other disease, shoulder",12/27/2023,9/23/2023,rfawley1h,colunney1h
55,375505,Fringed Lichen,43,$418.33,true,$121.70,Athscl nonaut bio bypass of r leg w ulcer of heel and midft,Atherosclerosis of nonautologous biological bypass graft(s) of the right leg with ulceration of heel and midfoot,1/10/2023,9/7/2023,jgadeaux1i,tatack1i
56,499921,Perennial Soybean,81,$155.55,false,$264.21,Manic episode,Manic episode,12/4/2022,3/6/2023,msotham1j,ebree1j
57,361956,Sugar Palm,79,$972.79,false,$331.93,Acute bronchiolitis,Acute bronchiolitis,8/18/2023,1/14/2023,alinbohm1k,lreadett1k
58,350209,Cuachilote,3,$395.20,false,$172.89,"Unsp physl fx upper end unsp femur, subs for fx w delay heal","Unspecified physeal fracture of upper end of unspecified femur, subsequent encounter for fracture with delayed healing",10/1/2022,1/13/2024,ehavenhand1l,aknivett1l
59,578733,Texas Bindweed,25,$186.56,true,$333.18,"Toxic effect of other ingested (parts of) plant(s), assault","Toxic effect of other ingested (parts of) plant(s), assault",1/2/2023,1/29/2024,schat1m,agerrelt1m
60,227430,Wire Bird's-foot Trefoil,94,$40.87,false,$356.13,"Superficial foreign body, unspecified lower leg, sequela","Superficial foreign body, unspecified lower leg, sequela",8/28/2023,9/3/2023,floveard1n,cjamary1n
61,660011,Pacific Mosquitofern,69,$895.03,false,$265.90,"Acute dacryoadenitis, right lacrimal gland","Acute dacryoadenitis, right lacrimal gland",6/15/2022,8/6/2022,ntrippick1o,sfloris1o
62,636094,Tea,21,$303.61,true,$468.32,Breakdown (mechanical) of intrauterine contraceptive device,Breakdown (mechanical) of intrauterine contraceptive device,4/22/2023,4/1/2022,llaverick1p,mmaylam1p
63,653600,Fraser's Marsh St. Johnswort,95,$567.17,true,$21.42,"Superficial foreign body of unsp parts of thorax, subs","Superficial foreign body of unspecified parts of thorax, subsequent encounter",6/16/2022,7/6/2022,pneighbour1q,itomkiss1q
64,544870,Desert Christmas Tree,95,$258.95,false,$298.10,"Rupture of synovium, left toe(s)","Rupture of synovium, left toe(s)",4/15/2023,5/26/2023,jriditch1r,heastman1r
65,207549,Pituri,19,$522.68,false,$152.25,"Stiffness of left ankle, not elsewhere classified","Stiffness of left ankle, not elsewhere classified",8/27/2022,12/30/2022,gkeslake1s,cohoey1s
66,627586,Mexican Cryptantha,4,$685.44,true,$467.65,"Matern care for oth or susp poor fetl grth, third tri, oth","Maternal care for other known or suspected poor fetal growth, third trimester, other fetus",8/22/2023,2/20/2023,kgurwood1t,cbedson1t
67,267141,Browneyes,36,$227.93,true,$475.79,"Underdosing of unsp agents aff the cardiovascular sys, init","Underdosing of unspecified agents primarily affecting the cardiovascular system, initial encounter",7/9/2022,10/29/2022,dmcevon1u,ldrury1u
68,726174,Shadscale Saltbush,9,$555.37,false,$20.35,"Foreign body in genitourinary tract, part unsp, subs encntr","Foreign body in genitourinary tract, part unspecified, subsequent encounter",11/1/2023,10/6/2022,ykells1v,rmelato1v
69,814507,Arnold Buckeye,78,$747.76,false,$289.75,"Preterm labor third tri w preterm del third tri, fetus 1","Preterm labor third trimester with preterm delivery third trimester, fetus 1",12/20/2022,9/3/2023,lhunnable1w,rmarrett1w
70,892726,Kamchatka Thistle,28,$730.35,false,$207.55,"Palindromic rheumatism, ankle and foot","Palindromic rheumatism, ankle and foot",11/16/2023,7/20/2022,jburford1x,aseakes1x
71,607449,Alpine Buttercup,73,$761.54,true,$39.60,"Burn of unspecified degree of right forearm, subs encntr","Burn of unspecified degree of right forearm, subsequent encounter",8/12/2023,11/25/2023,fdeblasio1y,bmathes1y
72,259583,Himalayan Mayapple,38,$715.18,false,$445.65,"Injury of median nerve at upper arm level, right arm, init","Injury of median nerve at upper arm level, right arm, initial encounter",11/22/2022,10/18/2023,slinham1z,mheims1z
73,577478,Pratt Apple,79,$118.61,false,$435.49,"Rupture of synovium, hand and fingers","Rupture of synovium, hand and fingers",12/13/2022,11/28/2023,dsteffans20,kstrand20
74,732502,Lost River Draba,95,$638.83,true,$119.87,"Unsp fx shaft of r femr, 7thN","Unspecified fracture of shaft of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion",5/13/2022,8/8/2023,hclarage21,aharling21
75,258460,Hedgehog Pricklypoppy,61,$334.20,true,$127.23,"Sclerosing keratitis, right eye","Sclerosing keratitis, right eye",10/11/2022,1/4/2023,hdecastelain22,mrhodus22
76,409074,Texan Great Ragweed,86,$481.71,false,$440.78,Unsp non-institutional (private) residence as place,Unspecified non-institutional (private) residence as the place of occurrence of the external cause,2/16/2022,7/19/2023,kportinari23,digoe23
77,348519,Rock's Phyllostegia,94,$254.14,false,$78.34,"Poisn by unsp drugs aff the autonm nervous sys, asslt, subs","Poisoning by unspecified drugs primarily affecting the autonomic nervous system, assault, subsequent encounter",12/10/2023,8/1/2023,eelsay24,fhandrek24
78,404646,Large Knotweed,85,$768.62,false,$332.04,"Sltr-haris Type I physeal fx upper end of l fibula, sequela","Salter-Harris Type I physeal fracture of upper end of left fibula, sequela",11/26/2023,11/27/2023,mduffield25,mmerveille25
79,631338,Veatch's Island Broom,73,$942.57,false,$210.39,"Chronic embolism and thombos unsp veins of up extrem, bi","Chronic embolism and thrombosis of unspecified veins of upper extremity, bilateral",8/19/2023,7/8/2022,dloynes26,eswayland26
80,986954,Menand's Hawthorn,99,$470.45,false,$23.06,"Struck by raccoon, subsequent encounter","Struck by raccoon, subsequent encounter",4/20/2023,9/17/2022,mduckerin27,gsikorsky27
81,826866,Windmill Grass,71,$260.26,true,$167.08,"Toxic effect of fusel oil, undetermined, subs encntr","Toxic effect of fusel oil, undetermined, subsequent encounter",10/25/2022,7/18/2023,dellor28,hholworth28
82,874570,Arthrorhaphis Lichen,11,$134.20,false,$386.40,"Cystoid macular degeneration, unspecified eye","Cystoid macular degeneration, unspecified eye",3/12/2022,3/14/2022,lexley29,akristof29
83,158641,Muhlick's Buckwheat,61,$720.29,true,$127.97,"Strain extensor musc/fasc/tend thmb at wrs/hnd lv, sequela","Strain of extensor muscle, fascia and tendon of unspecified thumb at wrist and hand level, sequela",9/11/2023,1/17/2024,wgouny2a,hbaldazzi2a
84,768408,Buckeye,67,$220.43,false,$191.58,"Major laceration of left innominate or subclav art, sequela","Major laceration of left innominate or subclavian artery, sequela",6/24/2022,3/5/2023,sjotcham2b,fkearns2b
85,433285,Creeping Lespedeza,49,$966.83,true,$62.35,"Person outside car inj in clsn w pedl cyc in traf, sequela","Person on outside of car injured in collision with pedal cycle in traffic accident, sequela",10/27/2022,9/1/2022,zmccrudden2c,csimoneton2c
86,406763,Okra,61,$522.76,true,$458.96,"Periprosth fracture around other internal prosth joint, subs","Periprosthetic fracture around other internal prosthetic joint, subsequent encounter",10/4/2022,2/16/2022,bdik2d,bdebanke2d
87,270557,Distant Phacelia,83,$941.33,false,$396.39,"Nondisp fx of r tibial tuberosity, 7thH","Nondisplaced fracture of right tibial tuberosity, subsequent encounter for open fracture type I or II with delayed healing",7/1/2022,8/12/2022,hberrycloth2e,fgianolini2e
88,731088,Strigose Beard Lichen,98,$680.05,true,$331.73,Finding of opiate drug in blood,Finding of opiate drug in blood,4/13/2023,8/14/2023,qsholem2f,lbrettell2f
89,426163,Quillwort,87,$405.09,false,$162.00,"Displ bimalleol fx unsp low leg, 7thM","Displaced bimalleolar fracture of unspecified lower leg, subsequent encounter for open fracture type I or II with nonunion",1/8/2024,9/19/2023,mmoffat2g,tcobbing2g
90,864709,Coastal Bird's-foot Trefoil,30,$917.90,true,$71.23,"Spinal instabilities, cervicothoracic region","Spinal instabilities, cervicothoracic region",7/2/2023,3/16/2023,mmckennan2h,fpuddephatt2h
91,122054,Hearst's Manzanita,22,$401.80,true,$187.66,Paralytic lagophthalmos,Paralytic lagophthalmos,3/15/2022,2/8/2023,gtoman2i,nwillcocks2i
92,830009,Beet,43,$794.57,false,$199.69,Car driver injured in collision w statnry object in traf,Car driver injured in collision with fixed or stationary object in traffic accident,1/28/2023,8/1/2023,cworthington2j,dechlin2j
93,648753,Hairy Evening Primrose,94,$325.79,true,$156.56,"Fall from other flat-bottomed pedestrian conveyance, sequela","Fall from other flat-bottomed pedestrian conveyance, sequela",4/8/2022,12/10/2023,paugur2k,nwimmers2k
94,320925,Kosrae Wild Coffee,39,$586.32,false,$111.67,"Poisoning by heroin, accidental (unintentional), init encntr","Poisoning by heroin, accidental (unintentional), initial encounter",1/25/2023,10/14/2022,mbannon2l,rtrowsdale2l
95,817966,Smallflower Columbine,38,$42.33,true,$141.15,"Oth fx upper end of unsp radius, subs for clos fx w malunion","Other fracture of upper end of unspecified radius, subsequent encounter for closed fracture with malunion",10/8/2022,7/7/2023,tmidgley2m,wengland2m
96,507883,Nepalese Browntop,29,$287.71,true,$172.26,Cellulitis of right orbit,Cellulitis of right orbit,7/22/2022,3/19/2022,oguillon2n,dlavrick2n
97,412830,Lanceleaf Grapefern,16,$619.68,false,$417.16,"Open bite of unsp toe(s) with damage to nail, subs encntr","Open bite of unspecified toe(s) with damage to nail, subsequent encounter",5/13/2023,5/13/2022,vphilcott2o,dfaherty2o
98,535566,Dirinaria Lichen,25,$189.66,true,$246.19,Oth foreign object in oth prt resp tract causing asphyx,Other foreign object in other parts of respiratory tract causing asphyxiation,1/17/2023,9/3/2023,bberrick2p,ncroneen2p
99,546125,Brownbeard Rice,15,$77.40,true,$81.76,"Unsp inj flexor musc/fasc/tend r thm at forarm lv, sequela","Unspecified injury of flexor muscle, fascia and tendon of right thumb at forearm level, sequela",10/4/2022,2/2/2023,hmaultby2q,sledger2q
100,685098,Guadalupe Milkvetch,68,$453.44,true,$446.60,"Legal intervnt w injury by rubr bulet, law enforc offl inj","Legal intervention involving injury by rubber bullet, law enforcement official injured",12/25/2023,9/4/2023,hgeleman2r,fkeays2r
101,894578,Birch,49,$888.30,false,$72.07,"Nondisp transverse fx r patella, 7thF","Nondisplaced transverse fracture of right patella, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing",8/26/2022,1/29/2023,lyounge2s,dbainbridge2s
102,248254,Urban's False Cocaine,13,$168.62,false,$142.06,"Poisoning by oth parasympathomimetics, undetermined, init","Poisoning by other parasympathomimetics [cholinergics], undetermined, initial encounter",12/11/2023,6/19/2022,ebaniard2t,kfennelow2t
103,427316,Script Lichen,27,$461.16,false,$491.26,Finding of other drugs of addictive potential in blood,Finding of other drugs of addictive potential in blood,7/18/2022,6/30/2022,vchrispin2u,hdionsetti2u
104,882771,Grassleaf Goldaster,5,$917.28,false,$121.21,Lactose intolerance,Lactose intolerance,1/15/2023,1/8/2023,glefridge2v,rtrood2v
105,537553,Florida Keys Seagrass,32,$96.07,false,$403.71,"Contact with sharp glass, undetermined intent, sequela","Contact with sharp glass, undetermined intent, sequela",10/6/2022,2/22/2022,ineller2w,cgorse2w
106,781496,Threenerve Goldenrod,59,$70.45,false,$101.24,Traumatic amputation of external genital organs,Traumatic amputation of external genital organs,12/20/2023,3/30/2022,mscrauniage2x,sbredgeland2x
107,503211,Wickerstem Buckwheat,17,$716.39,false,$42.15,Acute embolism and thombos unsp deep vn unsp lower extremity,Acute embolism and thrombosis of unspecified deep veins of unspecified lower extremity,11/1/2023,1/18/2024,ochristin2y,cclaworth2y
108,961949,Heterocladium Moss,11,$405.13,false,$199.74,"Bent bone of left ulna, subs for clos fx w malunion","Bent bone of left ulna, subsequent encounter for closed fracture with malunion",3/26/2023,12/27/2023,wboughton2z,ddrayton2z
109,110274,Carolina Fanwort,46,$247.25,true,$281.18,"Other cyst of bone, unspecified shoulder","Other cyst of bone, unspecified shoulder",3/28/2023,7/19/2022,pevelyn30,vbartalucci30
110,879427,Coastal Flatsedge,16,$924.56,false,$213.34,Corrosion of first degree of unspecified shoulder,Corrosion of first degree of unspecified shoulder,4/22/2023,8/14/2022,dwestney31,rmccaughren31
111,604251,Small's Beardtongue,25,$327.38,false,$469.41,"Intestinal obstruction of newborn, unspecified","Intestinal obstruction of newborn, unspecified",3/9/2023,8/4/2023,rbrisland32,lcudbertson32
112,676457,Yellow Crownbeard,26,$607.85,true,$44.50,"Displ spiral fx shaft of ulna, r arm, 7thB","Displaced spiral fracture of shaft of ulna, right arm, initial encounter for open fracture type I or II",1/22/2024,10/14/2022,fwilkinson33,cslobom33
113,726333,Cudweed,65,$731.41,true,$488.42,Merkel cell carcinoma of scalp and neck,Merkel cell carcinoma of scalp and neck,2/9/2023,1/14/2023,gelvish34,wnipper34
114,746893,Pygmy Bluehearts,86,$194.78,false,$305.06,"Alcohol use, unspecified with intoxication delirium","Alcohol use, unspecified with intoxication delirium",5/18/2023,8/14/2023,mlelievre35,btremaine35
115,530164,Tortula Moss,53,$407.39,true,$341.17,"Newborn affected by slow intrauterine growth, unspecified","Newborn affected by slow intrauterine growth, unspecified",9/18/2022,8/24/2022,bjoret36,cmaffini36
116,654752,Loosestrife,4,$394.28,false,$148.98,"Disp fx (avulsion) of medial epicondyle of l humerus, init","Displaced fracture (avulsion) of medial epicondyle of left humerus, initial encounter for closed fracture",4/14/2023,8/21/2023,dangrove37,rloudiane37
117,293984,Nuttall's Sensitive-briar,1,$54.27,false,$239.55,"Pnctr w/o fb of low back and pelv w penet retroperiton, subs","Puncture wound without foreign body of lower back and pelvis with penetration into retroperitoneum, subsequent encounter",9/20/2022,3/5/2023,jpetrenko38,ddellcasa38
118,721211,Silver Buffaloberry,65,$745.56,true,$357.38,"Disp fx of l radial styloid pro, 7thQ","Displaced fracture of left radial styloid process, subsequent encounter for open fracture type I or II with malunion",2/28/2022,1/29/2023,btills39,nragless39
119,989002,Shaddock,34,$930.73,false,$149.65,"Disp fx of shaft of unsp metacarpal bone, init for opn fx","Displaced fracture of shaft of unspecified metacarpal bone, initial encounter for open fracture",8/27/2023,1/11/2024,dhouchen3a,rroddick3a
120,774929,Drummond's Milkvetch,37,$659.29,true,$346.14,Underdosing of immunoglobulin,Underdosing of immunoglobulin,2/13/2023,1/18/2024,dgratland3b,kclover3b
121,315644,Aguacatillo,62,$820.16,true,$42.40,Tibial collateral bursitis [Pellegrini-Stieda],Tibial collateral bursitis [Pellegrini-Stieda],8/30/2023,2/14/2022,kmeiningen3c,kstuchberry3c
122,427251,White Violet,56,$346.29,true,$463.77,"Juvenile rheumatoid arthritis w systemic onset, unsp wrist","Juvenile rheumatoid arthritis with systemic onset, unspecified wrist",8/7/2023,8/16/2023,jlyfe3d,headon3d
123,369993,Cutleaf Daisy,60,$228.60,true,$335.65,"Matern care for oth or susp poor fetl grth, 1st tri, fts1","Maternal care for other known or suspected poor fetal growth, first trimester, fetus 1",4/24/2022,2/12/2022,zyirrell3e,zmilazzo3e
124,225617,Peking Cotoneaster,93,$72.69,false,$129.94,"Unsp fracture of right pubis, init for clos fx","Unspecified fracture of right pubis, initial encounter for closed fracture",10/18/2022,7/18/2023,wbradfield3f,dalessandrucci3f
125,415477,Freckled Milkvetch,55,$674.13,false,$63.41,Rift Valley fever,Rift Valley fever,8/16/2023,12/19/2023,owernham3g,ayoell3g
126,336452,Gray Alder,5,$870.15,true,$173.80,Lateral subluxation of right ulnohumeral joint,Lateral subluxation of right ulnohumeral joint,10/13/2023,6/30/2022,bmacascaidh3h,bjansky3h
127,147916,Crowned Beggarticks,83,$492.06,false,$244.15,"Toxic effect of arsenic and its compounds, assault, sequela","Toxic effect of arsenic and its compounds, assault, sequela",1/31/2024,3/22/2023,cepilet3i,bscrowston3i
128,722205,Old Man's Whiskers,31,$477.48,false,$84.35,Adverse effect of unsp agents prim acting on the resp sys,Adverse effect of unspecified agents primarily acting on the respiratory system,4/3/2022,3/3/2022,jlantiff3j,jduchatel3j
129,630067,Lindsaeosoria,46,$744.09,false,$249.75,Dyslexia and alexia,Dyslexia and alexia,11/11/2023,9/2/2022,dantalffy3k,dhagland3k
130,891629,Slender Rosette Grass,60,$686.90,true,$229.77,"Unsp inj blood vessels at lower leg level, right leg, init","Unspecified injury of other blood vessels at lower leg level, right leg, initial encounter",2/11/2023,11/28/2023,sofairy3l,bshear3l
131,459898,Hybrid Elm,48,$581.87,true,$95.37,"Ped on rolr-skt inj pick-up truck, pk-up/van in traf, subs","Pedestrian on roller-skates injured in collision with car, pick-up truck or van in traffic accident, subsequent encounter",9/1/2023,10/23/2022,rgarci3m,ascurr3m
